field                      energy     energy error    magnetization        mag error       ene binder       mag binder
 5.0000000E-01     -1.0593997E+00    7.8930776E-04    5.2862549E-04    2.2278200E-03    6.6652161E-01   -7.6375468E-01
 6.0000000E-01     -1.0928326E+00    5.2676163E-04    8.2763672E-05    1.7028249E-03    6.6660527E-01   -4.0666404E-01
 7.0000000E-01     -1.1283964E+00    8.6670796E-04   -4.2089844E-04    5.1163080E-04    6.6651276E-01   -5.2648169E+00
 8.0000000E-01     -1.1780806E+00    3.8026875E-04    1.6632080E-04    9.8250853E-05    6.6663901E-01   -4.7977239E-01
 9.0000000E-01     -1.2264919E+00    4.9379754E-04   -2.2845459E-04    1.3706755E-04    6.6662385E-01   -2.0406224E-02
 1.0000000E+00     -1.2846591E+00    5.6215100E-04    3.0731201E-04    1.6955431E-04    6.6661592E-01    7.0961839E-02
 1.1000000E+00     -1.3436422E+00    7.8608319E-04    3.0725098E-04    3.9410767E-04    6.6657626E-01   -6.6433774E-01
 1.2000000E+00     -1.4115094E+00    8.6213868E-04   -4.2193604E-04    6.5134582E-04    6.6656779E-01   -2.6005745E-01
 1.3000000E+00     -1.4909658E+00    8.3272755E-04   -4.8944092E-04    6.6622416E-04    6.6658369E-01   -3.4310769E-01
 1.4000000E+00     -1.5718593E+00    8.9994928E-04    3.5327148E-04    5.9497982E-04    6.6657967E-01   -6.0283505E-01
 1.5000000E+00     -1.6562295E+00    9.7313288E-04   -1.3073730E-04    6.5595149E-04    6.6657503E-01   -2.6895978E-01
 1.6000000E+00     -1.7408368E+00    8.7321566E-04    7.5683594E-05    7.9037271E-04    6.6659977E-01   -1.0359309E+00
 1.7000000E+00     -1.8317541E+00    1.0499741E-03    6.1877441E-04    7.5352562E-04    6.6657930E-01    7.4933374E-02
 1.8000000E+00     -1.9214469E+00    1.0729327E-03    3.4753418E-04    8.1651665E-04    6.6658395E-01   -1.8690269E-01
 1.9000000E+00     -2.0099669E+00    1.2275262E-03    6.6589355E-04    8.3772697E-04    6.6656770E-01    2.3917285E-02
 2.0000000E+00     -2.1005361E+00    1.3856598E-03    8.8604736E-04    1.0836945E-03    6.6655118E-01   -2.0373863E-02
 2.1000000E+00     -2.1960395E+00    1.6661955E-03   -1.1058960E-03    1.0329665E-03    6.6651346E-01    4.3274183E-03
 2.2000000E+00     -2.2934553E+00    1.6211497E-03   -1.8156738E-03    1.3122219E-03    6.6653397E-01   -2.6075720E-01
 2.3000000E+00     -2.3852491E+00    1.8777454E-03    2.9481201E-03    1.5233368E-03    6.6650218E-01   -1.5724431E-01
 2.4000000E+00     -2.4813371E+00    1.8936199E-03   -9.8297119E-04    1.7283994E-03    6.6651244E-01    6.1445738E-02
 2.5000000E+00     -2.5830052E+00    2.5483036E-03   -2.8149414E-04    1.7884291E-03    6.6640858E-01   -2.0862022E-03
 2.6000000E+00     -2.6807205E+00    2.5078732E-03    4.6415405E-03    2.1948679E-03    6.6643388E-01    1.9038020E-01
 2.7000000E+00     -2.7795519E+00    2.5603386E-03    2.0464478E-03    1.7263830E-03    6.6644154E-01   -4.3739908E-02
 2.8000000E+00     -2.8786931E+00    2.0983585E-03   -4.4356689E-03    2.0107810E-03    6.6652576E-01    1.4061970E-01
 2.9000000E+00     -2.9868743E+00    2.2200282E-03    1.7572632E-03    1.6685001E-03    6.6652024E-01    7.4822787E-02
 3.0000000E+00     -3.0772301E+00    2.2206660E-03   -1.4843750E-03    1.8657659E-03    6.6652788E-01    1.1413019E-01
 3.1000000E+00     -3.1829074E+00    2.2921382E-03    4.8616333E-03    2.0015086E-03    6.6652863E-01    2.4662092E-01
 3.2000000E+00     -3.2832006E+00    1.9528212E-03    1.1890991E-02    1.4502999E-03    6.6657289E-01    2.2090819E-01
