field                      energy     energy error    magnetization        mag error       ene binder       mag binder
 5.0000000E-01     -1.5474496E+00    4.7802026E-05    9.6588135E-06    2.1915925E-05    6.6666641E-01   -5.2895622E-03
 6.0000000E-01     -1.5683066E+00    5.6309709E-05   -2.6748657E-05    3.0367704E-05    6.6666632E-01    5.0740981E-02
 7.0000000E-01     -1.5930873E+00    7.0366404E-05   -4.7256470E-05    3.2987201E-05    6.6666615E-01   -7.4662681E-03
 8.0000000E-01     -1.6215712E+00    8.4306616E-05    1.1413574E-05    3.8743920E-05    6.6666595E-01    1.7110595E-02
 9.0000000E-01     -1.6539299E+00    8.9693290E-05    2.4719238E-06    4.3311170E-05    6.6666589E-01   -4.3800993E-02
 1.0000000E+00     -1.6901178E+00    1.1035955E-04   -1.7608643E-05    5.0987958E-05    6.6666554E-01   -2.6465932E-02
 1.1000000E+00     -1.7301274E+00    1.1737637E-04   -7.7667236E-05    6.0419854E-05    6.6666545E-01    9.6377610E-02
 1.2000000E+00     -1.7738901E+00    1.3311063E-04   -6.1172485E-05    6.4430393E-05    6.6666517E-01   -1.5660767E-02
 1.3000000E+00     -1.8215884E+00    1.7264351E-04    4.7790527E-05    7.4405771E-05    6.6666428E-01    9.0525159E-02
 1.4000000E+00     -1.8734789E+00    1.8208457E-04   -9.3978882E-05    8.5948358E-05    6.6666416E-01   -5.3503769E-01
 1.5000000E+00     -1.9288526E+00    2.0590923E-04   -1.2760925E-04    1.1243928E-04    6.6666364E-01   -3.8582085E-01
 1.6000000E+00     -1.9885326E+00    2.2844129E-04    1.6769409E-05    1.0266459E-04    6.6666316E-01   -1.0551172E-01
 1.7000000E+00     -2.0518688E+00    2.6386459E-04   -7.1075439E-05    1.3881976E-04    6.6666228E-01    1.6721375E-02
 1.8000000E+00     -2.1195113E+00    2.8360594E-04   -1.9343567E-04    1.5128453E-04    6.6666191E-01   -5.8411065E-02
 1.9000000E+00     -2.1909165E+00    3.7536990E-04   -2.5198364E-04    1.9193659E-04    6.6665887E-01   -8.8414042E-02
 2.0000000E+00     -2.2672220E+00    4.0510759E-04   -5.6579590E-05    2.3656136E-04    6.6665820E-01   -2.5068656E-01
 2.1000000E+00     -2.3481561E+00    7.1600310E-04   -4.4709778E-04    3.8761503E-04    6.6664201E-01    1.9761837E-02
 2.2000000E+00     -2.4326988E+00    9.5713992E-04   -2.2267761E-03    6.6737114E-04    6.6662560E-01   -1.7718601E-02
 2.3000000E+00     -2.5230372E+00    1.1205212E-03   -3.3239288E-03    6.7675398E-04    6.6661433E-01    1.4474215E-01
 2.4000000E+00     -2.6272348E+00    7.6577371E-04    3.4103394E-04    7.0062845E-04    6.6664408E-01   -1.5510490E-02
 2.5000000E+00     -2.7332379E+00    1.3668854E-03   -5.2993469E-03    6.6697928E-04    6.6660009E-01    3.3101810E-01
 2.6000000E+00     -2.8000788E+00    9.8464526E-04    2.4693909E-03    4.6076159E-04    6.6663386E-01    1.2262571E-01
 2.7000000E+00     -2.9051356E+00    6.2463380E-04    3.3535767E-04    7.0826702E-04    6.6665442E-01    3.2939727E-01
 2.8000000E+00     -2.9866554E+00    1.1006086E-03    8.2521057E-04    4.8076001E-04    6.6663057E-01    2.5185446E-02
 2.9000000E+00     -3.0766196E+00    1.3011681E-03   -3.3496857E-03    5.3696662E-04    6.6661932E-01   -7.4028691E-02
 3.0000000E+00     -3.1724027E+00    6.5003186E-04   -7.9412842E-04    3.0837269E-04    6.6665554E-01   -6.4893041E-02
 3.1000000E+00     -3.2990092E+00    1.3044346E-03    4.2835846E-03    3.1412046E-04    6.6662541E-01    1.8261653E-01
 3.2000000E+00     -3.3755103E+00    1.0367366E-03   -1.0804901E-03    4.4721116E-04    6.6664166E-01    3.5050571E-01
 3.3000000E+00     -3.4625302E+00    1.0631629E-03   -2.3112183E-03    4.6376881E-04    6.6664165E-01    1.5795456E-01
 3.4000000E+00     -3.5704380E+00    6.5307056E-04    2.8537750E-03    5.1073948E-04    6.6665778E-01   -9.3936985E-04
 3.5000000E+00     -3.6632283E+00    6.9685672E-04    1.1339508E-02    7.3179204E-04    6.6665706E-01    3.6326448E-03
 3.6000000E+00     -3.7667240E+00    6.6679282E-04   -1.1542313E-02    5.4287893E-04    6.6665836E-01    4.5772034E-01
 3.7000000E+00     -3.8669919E+00    7.2863695E-04   -8.1405640E-03    6.0545460E-04    6.6665727E-01    3.5334470E-02
 3.8000000E+00     -3.9657983E+00    6.8106090E-04    3.8132172E-03    4.9342600E-04    6.6665885E-01   -8.1788042E-02
 3.9000000E+00     -4.0592738E+00    1.0379079E-03    7.0919952E-03    2.7075777E-04    6.6664931E-01    3.9687936E-01
 4.0000000E+00     -4.1780959E+00    9.7736354E-04   -5.8821564E-03    3.2980839E-04    6.6665214E-01    2.5663321E-01
 4.1000000E+00     -4.2656531E+00    5.9803803E-04    6.4051514E-03    2.9978731E-04    6.6666145E-01    3.4049997E-01
 4.2000000E+00     -4.3630734E+00    5.3462602E-04   -4.4227600E-04    2.4109491E-04    6.6666269E-01   -1.2289871E-02
 4.3000000E+00     -4.4541597E+00    8.7875367E-04   -6.3998718E-03    2.6908799E-04    6.6665633E-01    4.0920343E-01
 4.4000000E+00     -4.5783174E+00    6.4597306E-04   -7.3119049E-03    2.5197743E-04    6.6666139E-01    4.5254851E-01
