field                      energy     energy error    magnetization        mag error       ene binder       mag binder
 1.5000000E+00     -2.0401167E+00    1.2941412E-04   -5.3222656E-05    9.3093600E-05    6.6666560E-01    1.0379072E-02
 1.6000000E+00     -2.1094713E+00    1.4437545E-04    5.3405762E-05    1.1118481E-04    6.6666542E-01    3.6101298E-02
 1.7000000E+00     -2.1820574E+00    1.7082446E-04   -6.8725586E-05    1.3108922E-04    6.6666504E-01   -3.7714071E-01
 1.8000000E+00     -2.2568925E+00    2.0895712E-04   -7.7148437E-05    1.3127311E-04    6.6666439E-01   -2.1299267E-01
 1.9000000E+00     -2.3347084E+00    2.0323052E-04   -2.6190186E-04    1.6258280E-04    6.6666466E-01    1.6125758E-01
 2.0000000E+00     -2.4144839E+00    2.7153767E-04   -1.7950439E-04    1.8237399E-04    6.6666331E-01    2.5665678E-02
 2.1000000E+00     -2.4954549E+00    3.1440806E-04   -2.4938965E-04    2.5316541E-04    6.6666246E-01    9.1221563E-02
 2.2000000E+00     -2.5777190E+00    5.2878664E-04    6.8905640E-04    4.3372278E-04    6.6665550E-01   -5.5114063E-01
 2.3000000E+00     -2.6637535E+00    7.5045521E-04    8.0059814E-04    6.6265098E-04    6.6664562E-01    3.8582046E-02
 2.4000000E+00     -2.7610295E+00    7.3712850E-04    4.1882629E-03    6.6441363E-04    6.6664777E-01    1.5208678E-01
 2.5000000E+00     -2.8585359E+00    1.1213483E-03    4.3601074E-03    7.1429043E-04    6.6662593E-01    7.4162566E-02
 2.6000000E+00     -2.9585964E+00    8.2826430E-04    1.1248169E-03    5.6630094E-04    6.6664587E-01    4.0156503E-02
 2.7000000E+00     -3.0518470E+00    7.3000097E-04   -4.9835815E-03    6.4302373E-04    6.6665151E-01    1.6569489E-01
 2.8000000E+00     -3.1471238E+00    1.0026207E-03    3.4674072E-04    6.8610131E-04    6.6663978E-01    4.1942577E-01
 2.9000000E+00     -3.2406708E+00    5.7294285E-04   -6.4759827E-03    7.2554533E-04    6.6665836E-01    3.1114813E-01
 3.0000000E+00     -3.3394566E+00    9.0739318E-04    2.6286621E-03    8.4961629E-04    6.6664708E-01    3.7481432E-01
 3.1000000E+00     -3.4564302E+00    6.7507399E-04   -1.2121582E-04    3.8458789E-04    6.6665655E-01    1.2378309E-01
 3.2000000E+00     -3.5450053E+00    9.4313908E-04   -3.1672363E-03    6.2048621E-04    6.6664790E-01    2.4601270E-01
 3.3000000E+00     -3.6464817E+00    5.5083340E-04   -8.6383972E-03    5.5450147E-04    6.6666061E-01    3.1603644E-01
 3.4000000E+00     -3.7352694E+00    5.0202144E-04    8.2219543E-03    4.6730488E-04    6.6666187E-01    2.3971782E-01
 3.5000000E+00     -3.8445976E+00    5.6071623E-04   -3.8551636E-03    3.4920496E-04    6.6666103E-01    3.5994949E-01
 3.6000000E+00     -3.9559616E+00    3.9044015E-04   -5.8789062E-04    3.6599595E-04    6.6666408E-01    1.9603632E-01
 3.7000000E+00     -4.0420519E+00    4.5907645E-04   -1.4777527E-03    4.4109149E-04    6.6666325E-01   -5.9878591E-03
 3.8000000E+00     -4.1547335E+00    9.6404004E-04   -1.7538452E-04    4.1336771E-04    6.6665237E-01    3.7775959E-01
 3.9000000E+00     -4.2483163E+00    6.3041124E-04    5.5917358E-04    2.2774323E-04    6.6666082E-01    1.9949730E-01
 4.0000000E+00     -4.3434532E+00    5.9086320E-04    1.4343872E-03    5.1763601E-04    6.6666176E-01    1.1627508E-01
 4.1000000E+00     -4.4461811E+00    4.6830682E-04    1.9994202E-03    6.2311714E-04    6.6666372E-01    4.0011580E-01
 4.2000000E+00     -4.5409518E+00    4.3175902E-04   -7.1034241E-03    5.1396866E-04    6.6666427E-01    2.7282430E-01
 4.3000000E+00     -4.6673168E+00    6.6175469E-04   -1.4690857E-03    3.7020600E-04    6.6666134E-01   -2.6884760E-01
 4.4000000E+00     -4.7638102E+00    7.3854033E-04    1.4531860E-03    2.7483255E-04    6.6666030E-01   -6.5482798E-02
 4.5000000E+00     -4.8569204E+00    5.8042325E-04    2.2623596E-03    4.2072708E-04    6.6666287E-01    2.2014178E-01
 4.6000000E+00     -4.9618840E+00    5.9782925E-04   -6.2943115E-03    2.2189882E-04    6.6666281E-01    4.6927448E-01
 4.7000000E+00     -5.0619762E+00    4.2942349E-04   -7.9008484E-03    2.1269121E-04    6.6666476E-01    5.2815895E-01
 4.8000000E+00     -5.1676785E+00    3.1366529E-04    1.7037354E-03    3.6293350E-04    6.6666569E-01    1.2935069E-01
 4.9000000E+00     -5.2745822E+00    5.4205765E-04   -3.6479492E-03    3.9999540E-04    6.6666386E-01    3.9687199E-01
 5.0000000E+00     -5.3692483E+00    5.3486201E-04   -2.0365295E-03    2.6799932E-04    6.6666403E-01    2.7792339E-01
