step             energy density          mag density             duration
0                -3.9668386E+00       -1.8310547E-04        1.3766000E-05
16               -3.8893133E+00       -2.9907227E-03        6.2800000E-07
32               -3.8340508E+00       -3.1127930E-03        1.3290000E-06
48               -3.7775879E+00       -3.8452148E-03        4.6960000E-06
64               -3.6697572E+00       -2.9907227E-03        4.8790000E-06
80               -3.6111123E+00       -5.3100586E-03        3.6930000E-06
96               -1.0637881E+00        1.6723633E-02        1.3419660E-03
112              -9.4389489E-01        9.1979980E-02        1.4924480E-03
128              -9.5839692E-01       -3.3996582E-02        1.3632400E-03
144              -9.5322786E-01       -4.1015625E-02        1.9679640E-03
160              -9.7796879E-01       -6.7260742E-02        1.8338150E-03
176              -9.6546789E-01       -8.8500977E-03        1.7367020E-03
192              -9.7648722E-01       -1.6210938E-01        1.6469020E-03
208              -9.8407843E-01       -1.2426758E-01        1.6082970E-03
224              -9.7087199E-01        6.4941406E-02        2.0490000E-06
240              -9.8763751E-01        1.6015625E-01        1.5370090E-03
256              -9.8807502E-01       -6.0607910E-02        1.3606460E-03
272              -9.8481466E-01        2.5329590E-02        1.5405960E-03
288              -9.9160998E-01       -2.2216797E-02        1.3694330E-03
304              -1.0128236E+00       -3.7963867E-02        1.3734260E-03
320              -1.0087633E+00        2.4291992E-02        1.3684200E-03
336              -9.9972754E-01        1.6015625E-01        1.3328910E-03
352              -1.0184500E+00        3.3935547E-02        1.5183210E-03
368              -1.0155140E+00        2.9907227E-03        1.3564780E-03
384              -1.0367402E+00       -5.3039551E-02        1.3616930E-03
400              -1.0142641E+00        9.5825195E-03        4.7582100E-04
416              -1.0181830E+00        3.8085938E-02        1.4105760E-03
432              -1.0191799E+00        2.1276855E-01        1.3898480E-03
448              -1.0075337E+00        1.5179443E-01        1.3611580E-03
464              -1.0050299E+00       -4.4006348E-02        1.3781270E-03
480              -1.0190680E+00        6.9519043E-02        1.3102160E-03
496              -1.0382444E+00       -5.7922363E-02        1.6363650E-03
512              -1.0230811E+00        8.3618164E-02        1.3640000E-03
528              -1.0415543E+00       -5.5969238E-02        1.5107190E-03
544              -1.0356974E+00        7.6782227E-02        1.3261320E-03
560              -1.0336502E+00        9.6862793E-02        1.4812400E-03
576              -1.0256012E+00        1.2481689E-01        1.3734190E-03
592              -1.0394205E+00        2.9296875E-03        1.6663970E-03
608              -1.0492828E+00       -2.0343018E-01        1.7487070E-03
624              -1.0318955E+00       -5.7678223E-02        1.4279330E-03
640              -1.0372818E+00        3.3264160E-02        1.3309420E-03
656              -1.0161916E+00        3.1066895E-02        9.3560300E-04
672              -1.0516212E+00        5.8593750E-03        1.3809850E-03
688              -1.0494455E+00        2.6916504E-02        1.1879470E-03
704              -1.0496132E+00        3.6071777E-02        4.3475300E-04
720              -1.0583198E+00        3.5156250E-02        1.3806280E-03
736              -1.0340392E+00       -1.4721680E-01        5.9497000E-05
752              -1.0565103E+00       -2.5512695E-02        1.3895370E-03
768              -1.0490869E+00       -3.7719727E-02        2.3129800E-04
784              -1.0485542E+00        6.2011719E-02        1.2995930E-03
800              -1.0361157E+00        1.3952637E-01        1.9283390E-03
816              -1.0462602E+00        6.2805176E-02        1.3269720E-03
832              -1.0507654E+00        3.6193848E-02        1.3544010E-03
848              -1.0703984E+00       -1.2109375E-01        2.3927600E-04
864              -1.0650502E+00       -4.4006348E-02        1.4477060E-03
880              -1.0592532E+00       -2.0007324E-01        1.3142550E-03
