step             energy density          mag density             duration
0                -2.3401499E+00       -6.7138672E-03        1.0016000E-05
16               -2.3347807E+00       -4.8828125E-03        4.5000000E-07
32               -2.3278584E+00       -9.3994141E-03        6.4040000E-06
48               -2.3267684E+00       -1.1230469E-02        1.3750000E-06
64               -2.3206870E+00       -8.7890625E-03        3.3990000E-06
80               -2.3014712E+00       -5.3710938E-03        2.2911000E-05
96               -2.2896679E+00       -7.0800781E-03        2.0890000E-06
112              -2.2762140E+00       -1.5747070E-02        4.4600000E-07
128              -2.2272142E+00       -4.1503906E-03        4.8100000E-07
144              -2.0800180E+00        1.7089844E-03        5.7869500E-04
160              -2.0427472E+00        1.3427734E-03        1.0140090E-03
176              -2.0369492E+00        3.7841797E-03        9.4885700E-04
192              -2.0321160E+00       -1.0742188E-02        7.8825500E-04
208              -2.0419019E+00        1.3427734E-03        7.9541500E-04
224              -2.0312437E+00        3.6621094E-03        8.5700300E-04
240              -2.0422141E+00        4.1503906E-03        8.2700000E-07
256              -2.0417712E+00       -9.7656250E-04        1.0540000E-06
272              -2.0345415E+00        1.2207031E-03        8.5100000E-07
288              -2.0297359E+00       -2.1972656E-03        1.0544340E-03
304              -2.0491427E+00        1.8310547E-03        8.0454600E-04
320              -2.0300028E+00       -1.0986328E-03        1.0198800E-03
336              -2.0422484E+00        5.1269531E-03        9.6580100E-04
352              -2.0514958E+00        7.9345703E-03        7.7697700E-04
368              -2.0315467E+00       -6.1035156E-03        6.5000000E-07
384              -2.0434956E+00        5.0048828E-03        8.3166200E-04
400              -2.0364720E+00       -4.7607422E-03        8.5950300E-04
416              -2.0397409E+00       -1.4648438E-03        5.2500000E-07
432              -2.0352469E+00       -1.0009766E-02        8.7369900E-04
448              -2.0417234E+00        4.3945312E-03        1.0017010E-03
464              -2.0269289E+00        4.8828125E-03        9.2353800E-04
480              -2.0473632E+00       -3.9062500E-03        7.8419200E-04
496              -2.0369989E+00        2.4414062E-04        8.0031800E-04
512              -2.0368247E+00       -4.6386719E-03        8.2639000E-04
528              -2.0335177E+00        2.5634766E-03        2.6350000E-06
544              -2.0330332E+00        1.0986328E-03        8.0322700E-04
560              -2.0361941E+00       -1.4648438E-03        7.5524400E-04
576              -2.0473540E+00        2.8076172E-03        7.9155100E-04
592              -2.0398311E+00        4.0283203E-03        9.7283500E-04
608              -2.0406045E+00        3.1738281E-03        7.3170600E-04
