step             energy density          mag density             duration
0                -4.0055474E+00       -1.5258789E-05        5.8885000E-05
32               -3.9969690E+00        3.8146973E-04        6.4650000E-06
64               -3.9870985E+00        6.1035156E-05        4.2090000E-06
96               -3.9766512E+00       -2.8991699E-04        1.4415000E-05
128              -3.9675102E+00       -7.9345703E-04        5.9260000E-06
160              -3.9581419E+00       -3.9672852E-04        6.6180000E-06
192              -3.9424936E+00        1.0681152E-04        7.3730000E-06
224              -3.9311327E+00       -1.5258789E-04        5.4060000E-06
256              -3.9236810E+00       -5.7983398E-04        7.7920000E-06
288              -3.9175965E+00       -3.3569336E-04        8.9510000E-06
320              -3.9093084E+00       -2.5939941E-04        1.1677000E-05
352              -3.9010377E+00       -6.8664551E-04        1.5540000E-05
384              -3.8936918E+00       -8.2397461E-04        5.2860000E-06
416              -3.8855233E+00       -1.6326904E-03        6.1020000E-06
448              -3.8663448E+00       -1.6479492E-03        4.5520000E-06
480              -3.8107442E+00       -1.2207031E-04        5.4260000E-06
512              -3.7996729E+00       -5.7983398E-04        6.0800000E-06
544              -3.7669610E+00       -1.4038086E-03        1.0505000E-05
576              -3.7229534E+00       -6.5612793E-04        1.0959000E-05
608              -3.5788055E+00        1.9836426E-04        6.3175400E-04
640              -3.2743458E+00        2.8381348E-03        4.3960000E-06
672              -2.8805529E+00        6.8664551E-04        1.3125000E-05
704              -1.9750582E+00       -2.3193359E-03        5.8609880E-03
736              -1.5486260E+00        1.5258789E-04        5.2780000E-06
768              -1.5460634E+00        9.0026855E-04        7.0388120E-03
800              -1.5461203E+00       -1.6021729E-03        6.7683410E-03
832              -1.5450074E+00        6.8664551E-04        6.5447070E-03
864              -1.5439666E+00        5.1879883E-04        6.1629620E-03
896              -1.5487766E+00       -1.8463135E-03        7.2082980E-03
928              -1.5471163E+00        3.9672852E-04        5.2550000E-06
960              -1.5483542E+00        1.2359619E-03        6.1153670E-03
992              -1.5434106E+00        1.5258789E-05        6.3693880E-03
1024             -1.5480331E+00       -4.4250488E-04        6.4724860E-03
1056             -1.5485188E+00       -1.3122559E-03        6.2098750E-03
1088             -1.5468124E+00       -4.8828125E-04        6.5399840E-03
1120             -1.5465170E+00       -1.0070801E-03        6.1223560E-03
1152             -1.5448481E+00       -1.0223389E-03        6.1777140E-03
1184             -1.5468267E+00        6.8664551E-04        6.3315100E-03
1216             -1.5490685E+00        1.5258789E-04        6.5678580E-03
1248             -1.5458126E+00       -3.9672852E-04        6.3361900E-03
